fid,iid,rep,alg_B8,alg_B16,alg_B24,alg_B32,alg_B40
1,3,10,Non-elitist,MLSL,Non-elitist,Same,Non-elitist
1,3,11,Non-elitist,MLSL,Non-elitist,Non-elitist,Non-elitist
1,3,12,Non-elitist,Non-elitist,MLSL,MLSL,Non-elitist
1,3,13,Non-elitist,MLSL,Same,Same,Same
1,3,14,Non-elitist,MLSL,Same,Non-elitist,MLSL
1,3,15,Non-elitist,Same,MLSL,Same,BFGS
1,3,16,Non-elitist,Same,Non-elitist,Non-elitist,Non-elitist
1,3,17,Non-elitist,MLSL,Same,Non-elitist,BFGS
1,3,18,Non-elitist,Same,Non-elitist,Same,Non-elitist
1,3,19,Non-elitist,Non-elitist,MLSL,Same,BFGS
1,4,0,Non-elitist,MLSL,MLSL,Non-elitist,MLSL
1,4,1,Non-elitist,MLSL,MLSL,Non-elitist,MLSL
1,4,2,Non-elitist,Non-elitist,Same,Non-elitist,MLSL
1,4,3,Non-elitist,MLSL,MLSL,Same,Non-elitist
1,4,4,Non-elitist,Same,Same,Non-elitist,MLSL
1,4,5,MLSL,Non-elitist,MLSL,Same,MLSL
1,4,6,Non-elitist,Same,MLSL,Same,Non-elitist
1,4,7,Non-elitist,BFGS,Same,Same,MLSL
1,4,8,Non-elitist,Same,MLSL,Non-elitist,MLSL
1,4,9,Non-elitist,Same,MLSL,Non-elitist,MLSL
1,4,10,Non-elitist,MLSL,MLSL,Non-elitist,Non-elitist
1,4,11,Non-elitist,Same,MLSL,Same,MLSL
1,4,12,Non-elitist,Same,MLSL,Same,Non-elitist
1,4,13,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
1,4,14,MLSL,MLSL,Same,Non-elitist,Non-elitist
1,4,15,Non-elitist,Same,Same,Non-elitist,Same
1,4,16,MLSL,MLSL,MLSL,Non-elitist,MLSL
1,4,17,Non-elitist,MLSL,MLSL,Non-elitist,Non-elitist
1,4,18,Same,Non-elitist,MLSL,Non-elitist,Non-elitist
1,4,19,Non-elitist,BFGS,MLSL,Non-elitist,MLSL
1,5,0,Non-elitist,Same,MLSL,MLSL,MLSL
1,5,1,Non-elitist,Same,MLSL,MLSL,Non-elitist
1,5,2,Non-elitist,MLSL,MLSL,MLSL,Non-elitist
1,5,3,Non-elitist,Same,Same,Non-elitist,Non-elitist
1,5,4,Non-elitist,BFGS,MLSL,Non-elitist,Non-elitist
1,5,5,Non-elitist,BFGS,MLSL,Non-elitist,MLSL
1,5,6,Non-elitist,Same,MLSL,MLSL,MLSL
1,5,7,Non-elitist,Same,Same,Non-elitist,Non-elitist
1,5,8,Same,BFGS,MLSL,Non-elitist,Non-elitist
1,5,9,Non-elitist,Same,Same,Same,MLSL
1,5,10,Non-elitist,BFGS,MLSL,Non-elitist,Non-elitist
1,5,11,Non-elitist,Same,Non-elitist,Non-elitist,Non-elitist
1,5,12,Non-elitist,MLSL,MLSL,Non-elitist,MLSL
1,5,13,Non-elitist,Same,MLSL,Non-elitist,Same
1,5,14,Non-elitist,Same,MLSL,Non-elitist,Same
1,5,15,Non-elitist,Same,MLSL,Non-elitist,MLSL
1,5,16,Non-elitist,Same,MLSL,MLSL,Non-elitist
1,5,17,Non-elitist,Same,MLSL,MLSL,Non-elitist
1,5,18,Non-elitist,Same,MLSL,Non-elitist,Non-elitist
1,5,19,Non-elitist,BFGS,Same,Non-elitist,MLSL
2,1,0,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,1,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,2,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,3,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,4,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,5,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,6,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,7,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,8,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,9,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,10,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,11,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,12,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,13,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,14,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,15,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,16,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,17,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,18,BFGS,BFGS,BFGS,BFGS,BFGS
2,1,19,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,0,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,1,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,2,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,3,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,4,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,5,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,6,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,7,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,8,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,9,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,10,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,11,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,12,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,13,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,14,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,15,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,16,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,17,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,18,BFGS,BFGS,BFGS,BFGS,BFGS
2,2,19,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,0,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,1,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,2,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,3,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,4,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,5,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,6,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,7,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,8,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,9,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,10,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,11,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,12,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,13,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,14,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,15,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,16,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,17,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,18,BFGS,BFGS,BFGS,BFGS,BFGS
2,3,19,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,0,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,1,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,2,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,3,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,4,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,5,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,6,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,7,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,8,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,9,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,10,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,11,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,12,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,13,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,14,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,15,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,16,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,17,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,18,BFGS,BFGS,BFGS,BFGS,BFGS
2,4,19,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,0,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,1,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,2,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,3,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,4,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,5,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,6,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,7,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,8,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,9,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,10,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,11,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,12,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,13,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,14,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,15,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,16,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,17,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,18,BFGS,BFGS,BFGS,BFGS,BFGS
2,5,19,BFGS,BFGS,BFGS,BFGS,BFGS
3,1,0,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,1,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,2,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,3,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,4,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,5,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,6,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,7,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,8,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,9,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,10,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,11,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,12,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,13,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,14,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,15,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,16,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,17,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,18,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,1,19,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,0,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,1,Non-elitist,Non-elitist,Non-elitist,BFGS,Non-elitist
3,2,2,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,3,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,4,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,5,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,6,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,7,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,8,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,9,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,10,BFGS,MLSL,Non-elitist,Non-elitist,Non-elitist
3,2,11,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,12,BFGS,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,13,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,14,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,15,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,16,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,17,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,18,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,2,19,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,0,BFGS,BFGS,Non-elitist,Non-elitist,Non-elitist
3,3,1,BFGS,BFGS,Non-elitist,BFGS,Non-elitist
3,3,2,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,3,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,4,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,5,BFGS,BFGS,Non-elitist,Non-elitist,Non-elitist
3,3,6,BFGS,BFGS,Non-elitist,Non-elitist,Non-elitist
3,3,7,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,8,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,9,BFGS,BFGS,Non-elitist,Non-elitist,Non-elitist
3,3,10,BFGS,BFGS,Non-elitist,Non-elitist,Non-elitist
3,3,11,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,12,BFGS,BFGS,Non-elitist,Non-elitist,Non-elitist
3,3,13,BFGS,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,14,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,15,BFGS,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,16,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,17,BFGS,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,3,18,BFGS,BFGS,Non-elitist,Non-elitist,Non-elitist
3,3,19,BFGS,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,0,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,1,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,2,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,3,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,4,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,5,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,6,Non-elitist,MLSL,Non-elitist,MLSL,Non-elitist
3,4,7,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,8,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,9,Non-elitist,Non-elitist,Non-elitist,MLSL,MLSL
3,4,10,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,11,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,12,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,13,Non-elitist,Same,Non-elitist,Non-elitist,Non-elitist
3,4,14,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,15,Non-elitist,Same,Non-elitist,Non-elitist,Non-elitist
3,4,16,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,17,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,18,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,4,19,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
3,5,0,Non-elitist,Non-elitist,BFGS,BFGS,Non-elitist
3,5,1,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,2,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,3,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,4,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,5,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,6,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,7,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,8,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
3,5,9,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,10,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
3,5,11,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,12,PSO,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,13,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,14,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,15,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,16,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,17,Non-elitist,Non-elitist,Non-elitist,Non-elitist,PSO
3,5,18,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
3,5,19,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,0,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,1,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,2,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,3,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,4,PSO,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,5,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,6,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
4,1,7,Non-elitist,Non-elitist,Non-elitist,Non-elitist,BFGS
4,1,8,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,9,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,10,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,11,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
4,1,12,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,13,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,14,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,15,Same,PSO,BFGS,Non-elitist,Non-elitist
4,1,16,PSO,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,17,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
4,1,18,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,1,19,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,0,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,1,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
4,2,2,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,3,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,4,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,5,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,6,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,7,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,8,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,9,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,10,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,11,Non-elitist,Non-elitist,BFGS,Non-elitist,Non-elitist
4,2,12,MLSL,BFGS,Non-elitist,Non-elitist,Non-elitist
4,2,13,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,14,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
4,2,15,Non-elitist,Non-elitist,BFGS,Non-elitist,Non-elitist
4,2,16,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
4,2,17,Non-elitist,Non-elitist,BFGS,BFGS,Non-elitist
4,2,18,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,2,19,Non-elitist,Non-elitist,Non-elitist,Non-elitist,PSO
4,3,0,BFGS,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,3,1,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,3,2,Non-elitist,BFGS,Non-elitist,Non-elitist,BFGS
4,3,3,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,3,4,Non-elitist,BFGS,Non-elitist,Non-elitist,Non-elitist
4,3,5,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,3,6,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,3,7,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,3,8,Non-elitist,Non-elitist,BFGS,BFGS,Non-elitist
4,3,9,Non-elitist,BFGS,BFGS,BFGS,BFGS
4,3,10,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,3,11,BFGS,BFGS,BFGS,BFGS,Non-elitist
4,3,12,Non-elitist,MLSL,Non-elitist,Non-elitist,Non-elitist
4,3,13,Non-elitist,BFGS,Non-elitist,Non-elitist,Non-elitist
4,3,14,Non-elitist,BFGS,Non-elitist,Non-elitist,Non-elitist
4,3,15,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,3,16,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,3,17,Non-elitist,Non-elitist,Non-elitist,BFGS,Non-elitist
4,3,18,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,3,19,Non-elitist,Non-elitist,Non-elitist,BFGS,BFGS
4,4,0,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,1,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
4,4,2,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,3,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,4,Non-elitist,Non-elitist,Non-elitist,BFGS,BFGS
4,4,5,PSO,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,6,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,7,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,8,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,9,Non-elitist,Non-elitist,Non-elitist,Non-elitist,BFGS
4,4,10,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,11,Non-elitist,Non-elitist,BFGS,Non-elitist,Non-elitist
4,4,12,PSO,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,13,PSO,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,14,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,15,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,16,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,17,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,18,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,4,19,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,5,0,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
4,5,1,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
4,5,2,Non-elitist,MLSL,Non-elitist,Non-elitist,Non-elitist
4,5,3,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,5,4,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
4,5,5,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist
4,5,6,Non-elitist,PSO,Non-elitist,Non-elitist,Non-elitist
